,label,lentitle,wctitle,punctitle,digittitle,capitaltitle,startitle,uppertitle3,uppertitle4,r_e,r_h,r_m,f_e,f_h,f_m
1919,0,75,12,1,75,74,0,0,0,0,0,0,4,0,3
1920,0,59,11,1,59,58,0,0,0,1,0,2,1,1,5
1921,1,56,9,2,56,54,0,0,0,1,0,3,0,0,2
1922,1,68,12,0,68,57,0,0,0,0,2,3,4,0,0
1923,1,70,10,5,70,65,0,0,0,0,0,1,1,0,4
1924,1,113,19,3,113,106,0,0,0,4,0,5,5,0,2
1925,0,79,15,1,79,63,0,0,0,1,0,1,5,0,4
1926,0,92,17,1,92,82,0,0,0,0,1,2,7,0,3
1927,1,30,5,1,30,26,0,0,0,1,0,2,0,0,0
1928,1,88,12,0,88,77,0,0,0,3,0,6,0,1,1
1929,0,101,20,4,100,84,0,0,0,0,1,2,6,0,5
1930,1,69,13,2,69,65,0,0,0,2,1,1,2,1,2
1931,0,47,9,3,47,37,0,1,1,1,0,2,3,0,0
1932,0,93,15,0,92,68,0,1,1,1,1,0,4,3,3
1933,0,51,9,0,51,48,0,0,0,0,0,0,2,0,3
1934,1,38,9,1,38,35,0,0,0,2,0,3,0,1,0
1935,0,66,9,1,66,56,0,0,0,0,0,1,1,0,2
1936,1,38,7,1,38,29,0,0,0,0,0,3,1,0,0
1937,1,77,17,6,77,72,0,0,0,4,2,1,4,2,1
1938,1,85,15,2,85,82,0,0,0,3,1,2,3,0,3
1939,0,66,10,2,66,54,0,0,0,0,1,1,2,0,3
1940,1,41,8,1,41,38,0,0,0,0,1,2,0,1,1
1941,0,83,16,6,78,76,0,0,0,2,0,2,4,1,5
1942,0,40,7,0,40,34,0,0,0,0,0,1,1,2,1
1943,0,56,10,1,56,48,0,0,0,1,1,2,1,0,4
1944,0,70,11,3,70,62,0,0,0,1,0,0,2,0,5
1945,1,46,8,2,43,40,0,0,0,0,0,4,0,0,1
1946,0,69,12,1,69,47,0,1,1,0,0,2,3,2,3
1947,1,63,11,3,63,60,0,0,0,0,0,3,3,0,2
1948,0,66,11,2,64,58,0,0,0,2,0,2,2,0,2
1949,0,58,9,1,58,51,0,0,0,0,0,0,1,0,7
1950,1,42,6,1,42,39,0,0,0,2,0,1,0,0,1
1951,1,32,7,0,32,31,0,0,0,1,0,2,1,1,0
1952,0,64,11,0,64,51,0,0,0,0,2,0,2,2,3
1953,1,42,10,2,41,34,0,0,0,1,1,1,2,0,0
1954,1,54,8,2,54,48,0,0,0,0,0,4,0,1,1
1955,0,84,13,5,84,75,0,0,0,0,0,1,4,1,0
1956,1,50,11,1,50,48,0,0,0,3,0,2,1,1,3
1957,1,59,12,0,59,48,0,0,0,2,1,5,1,0,1
1958,1,85,15,0,85,71,0,0,0,2,0,4,2,0,3
1959,0,108,19,3,107,93,0,0,0,0,0,1,7,0,6
1960,0,86,12,2,86,84,0,0,0,0,0,0,2,0,3
1961,0,112,22,6,112,96,1,0,0,0,0,2,8,0,6
1962,1,66,13,1,64,57,0,0,0,0,1,6,0,0,1
1963,0,46,8,0,46,39,0,0,0,0,0,1,0,1,1
1964,0,80,14,5,80,69,0,0,0,0,0,2,8,0,1
1965,1,37,9,0,37,34,0,0,0,1,1,2,1,0,2
1966,1,76,12,4,76,72,0,0,0,2,0,5,1,0,0
1967,0,46,8,0,46,39,0,0,0,1,0,0,1,1,1
1968,0,84,13,5,84,53,1,0,0,1,1,2,2,1,2
1969,1,66,12,5,66,62,0,0,0,2,1,2,4,1,0
1970,0,78,12,4,78,64,0,0,0,1,0,1,3,0,5
1971,1,59,10,3,59,50,0,0,0,1,0,3,2,0,1
1972,1,62,11,0,62,59,0,0,0,0,0,3,1,0,1
1973,1,41,7,0,41,36,0,0,0,0,1,4,0,0,0
1974,1,58,10,0,58,55,0,0,0,1,2,1,2,1,2
1975,0,100,17,6,100,83,0,0,0,0,2,2,1,2,5
1976,0,49,9,2,49,41,0,0,0,0,1,1,2,0,3
1977,1,83,14,2,83,80,0,0,0,3,0,3,4,1,1
1978,0,41,6,1,41,36,0,0,0,0,1,1,1,0,2
1979,1,59,12,1,59,51,0,0,0,2,1,0,2,0,2
1980,0,41,8,2,39,39,0,0,0,0,0,0,3,1,1
1981,0,14,4,0,14,11,0,0,0,0,0,0,0,3,0
1982,0,55,11,0,53,46,0,0,0,0,0,2,0,0,3
1983,1,33,5,2,33,29,0,0,0,1,1,1,0,0,0
1984,0,39,7,1,39,34,0,0,0,0,0,1,1,0,2
1985,1,57,11,1,57,54,0,0,0,4,0,1,1,1,2
1986,1,84,15,3,84,80,0,0,0,1,1,6,3,0,1
1987,0,99,13,0,99,87,0,0,0,3,0,0,1,1,4
1988,0,84,11,2,84,70,1,0,0,0,0,2,0,3,2
1989,0,52,10,3,46,39,0,1,1,0,0,1,1,0,3
1990,1,66,12,0,66,64,0,0,0,0,2,2,4,1,1
1991,0,84,15,2,84,66,0,0,0,1,0,1,2,1,6
1992,0,58,9,2,58,50,0,0,0,0,0,1,0,2,4
1993,0,115,21,1,115,101,0,0,0,1,0,1,6,0,6
1994,1,67,12,0,63,65,0,0,0,3,2,3,2,0,0
1995,1,44,8,0,43,38,0,0,0,2,1,1,0,0,0
1996,0,67,10,4,67,59,0,0,0,1,0,0,2,1,4
1997,1,106,19,3,106,101,0,0,0,3,0,4,3,1,0
1998,1,69,12,1,69,65,0,0,0,0,3,2,2,0,0
1999,1,70,11,1,70,68,0,0,0,0,2,1,0,1,1
2000,1,91,15,0,89,90,0,0,0,0,1,4,1,1,3
2001,0,70,11,3,70,64,0,0,0,0,0,0,3,2,4
2002,1,59,10,0,59,54,0,0,0,3,2,1,1,0,0
2003,1,53,8,1,53,48,0,0,0,3,0,2,2,0,0
2004,0,99,21,2,99,93,0,0,0,1,1,4,7,0,5
2005,1,54,11,3,50,46,0,0,0,2,0,2,4,0,2
